   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1    9   21   17   29    5 
   1    9   21   17   29    5 
   1    9   21   17   29    5 
   1    9   21   17   29    5 
   1    9   21   17   29    5 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21   17    9    5   29 
   1   21    9   17    5   29 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17   29    5 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21    9   17    5   29 
   1   21   17    5    9   29 
   1   21   17    5    9   29 
   1   21   17    5   29    9 
   1   21   17    5   29    9 
   1   21   17    9    5   29 
   1   21   17    9   29    5 
   1   21   17    9    5   29 
   1   21   17    9    5   29 
   1   21   17    5   29    9 
   1   21   17   29    9    5 
   1   21   17   29    9    5   60 
   1   21   17   29    5    9   60 
   1   21   17    5   29    9   60 
   1   21   17    5   29    9   60 
   1   21   17    5   29    9   60 
   1   21   17    5   29    9   60 
   1   21   17    5   29    9   60 
   1   21   17    5   29    9   60 
   1   21   17    9    5   29   60 
   1   21   17    9    5   29   60 
   1   21   17    9    5   29   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5 
   1   21   17    9   29    5 
   1   21   17    9   29    5   60 
   1   21    9   17   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17   29    9    5   60 
   1   21   29   17    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17   29    9    5   60 
   1   21   17    9   29    5   60 
   1   21   29   17    9    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17   29    9    5   60 
   1   21   17    9   29    5   60 
   1   21   17    9   29    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21   17   29    9    5   60 
   1   21    9   29   17    5   60 
   1   21    9   29   17    5   60 
   1   21    9   29   17    5   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9   29    5   17   60 
   1   21    9    5   29   17   60 
   1    9    5   21   29   17   60 
   1    9    5   21   29   17   60 
   1    9    5   21   29   17   60 
   1    5    9   21   29   17   60 
   1    5    9   21   29   17   60 
   1    5    9   21   29   17   60 
   1    5    9   21   29   17   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5   21    9   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   29   17   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29   60 
   1    5    9   21   17   29 
   1    5    9   21   17   29 
   1    5    9   21   17   29 
   1    5    9   21   17   29 
   1    5    9   17   21   29 
   1    5    9   17   21   29 
   1    5    9   17   21   29 
   1    5    9   17   21   29 
   1    5    9   17   21   29 
   1    5    9   17   21   29 
   1    5    9   17   21   29 
   1    9   17    5   21   29 
   1    5   17    9   21   29 
   1   17    9    5   21   29 
   1    5   17   21    9   29 
   1   17    9    5   21   29   60 
   1   17    9    5   21   29 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1    9   17    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    5    9   21   29   77 
   1   17    9    5   21   29   77 
   1   17    5    9   21   29   77 
   1   17    5    9   21   29   77 
   1   17    5    9   21   29 
   1    5   17    9   21   29 
   1    5   17    9   21   29 
   1   17    5   21    9   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1   17    5    9   21   29 
   1    5   17    9   21   29 
   1    5   17    9   21   29 
   1    5   17    9   21   29 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    5    9   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1   17    9    5   21   29   77 
   1    9   17    5   21   29   77 
